Gender,AgeCategory,IncomeCat,Vicinity,TimeBrowse,RepeatCust,NoVisits,Sample,Tour,WeekDay,TimeofDay,WinePref,Purchase,Amount,Season,Hi Temp,Date,Month No
1,6,5,1,5,1,4,1,1,6,3,1,1,13.59,1,11,1/19/17 3:44 PM,1
2,6,6,1,4,2,0,1,1,6,4,2,2,0,1,23,1/19/17 6:57 PM,1
2,3,5,4,4,2,0,1,1,5,2,2,2,0,1,7,1/19/17 9:02 PM,1
2,6,7,3,5,2,0,1,1,1,1,3,1,75.88,1,3,1/20/17 5:38 PM,1
2,5,5,1,3,2,0,1,2,2,3,1,2,0,1,14,1/21/17 3:11 PM,1
1,6,1,1,5,2,0,2,1,6,1,3,1,13.59,1,13,1/22/17 3:38 AM,1
1,1,1,3,3,2,0,1,2,7,4,2,1,13.59,1,17,1/22/17 10:37 AM,1
2,4,4,3,4,2,0,1,1,1,4,3,1,37.95,1,24,1/23/17 8:06 AM,1
1,4,6,1,4,2,0,1,1,5,5,1,1,13.59,1,5,1/23/17 11:23 PM,1
1,5,9,4,4,2,0,1,1,6,1,2,1,13.59,1,8,1/24/17 9:38 PM,1
2,2,5,3,3,1,1,1,2,1,3,1,1,22.03,1,9,1/25/17 2:19 PM,1
1,4,6,3,4,2,0,2,1,1,2,3,1,13.59,1,19,1/26/17 1:33 AM,1
1,1,9,3,5,2,0,1,2,1,1,1,1,13.59,1,11,1/26/17 6:12 PM,1
2,5,3,2,5,2,0,2,1,6,2,3,2,0,1,6,1/27/17 3:43 AM,1
2,2,8,1,1,2,0,1,2,2,4,2,2,0,1,7,1/27/17 10:49 AM,1
2,3,7,4,4,2,0,1,1,2,2,1,2,0,1,15,1/27/17 1:52 PM,1
1,1,7,4,1,2,0,2,1,1,4,1,1,13.59,1,8,1/27/17 10:30 PM,1
1,3,8,3,2,2,0,1,1,6,4,3,1,13.59,1,15,1/28/17 8:31 PM,1
2,3,7,3,4,2,0,1,2,5,2,2,1,78.86,1,14,1/29/17 2:42 AM,1
2,5,1,4,2,2,0,1,1,5,3,1,1,23.7,1,10,1/29/17 7:46 PM,1
2,2,5,4,2,2,0,1,2,5,2,2,2,0,1,12,1/30/17 3:37 AM,1
1,4,8,4,5,2,0,1,2,5,3,2,1,13.59,1,22,1/30/17 8:45 AM,1
2,6,5,1,2,1,4,2,2,5,2,3,2,0,1,15,1/31/17 4:56 AM,1
2,1,1,4,4,1,3,2,1,1,3,3,2,0,1,20,1/31/17 1:01 PM,1
1,6,6,3,1,1,3,2,1,1,1,2,1,13.59,1,18,1/31/17 8:58 PM,1
2,1,9,1,2,2,0,1,1,7,3,3,1,86.33,1,12,2/1/17 3:47 PM,2
1,6,7,3,3,1,1,1,1,5,3,1,1,37.95,1,8,2/2/17 8:15 AM,2
2,4,4,2,5,1,3,2,1,3,3,2,2,0,1,10,2/3/17 2:19 AM,2
2,2,3,1,1,2,0,1,2,5,2,1,2,0,1,20,2/3/17 6:35 AM,2
2,1,5,4,2,1,3,1,2,5,1,3,2,0,1,8,2/3/17 9:24 AM,2
1,2,8,3,1,2,0,1,2,5,1,3,1,13.59,1,4,2/4/17 4:49 AM,2
2,1,6,4,1,2,0,1,1,5,4,1,1,17.78,1,20,2/4/17 5:51 PM,2
2,5,4,2,1,1,4,2,1,2,5,3,2,0,1,14,2/4/17 10:24 PM,2
1,3,1,1,1,1,1,1,2,5,1,3,1,13.59,1,16,2/5/17 4:27 AM,2
2,6,5,1,1,1,1,1,1,1,3,1,1,80.62,1,9,2/5/17 5:25 AM,2
2,6,9,4,1,2,0,2,1,5,1,3,1,31.42,1,16,2/6/17 4:16 AM,2
2,2,8,1,4,2,0,1,2,6,5,1,1,90.44,1,25,2/6/17 5:23 PM,2
1,3,7,3,4,2,0,1,1,5,3,1,1,13.59,1,6,2/7/17 12:12 AM,2
2,6,4,3,3,2,0,1,1,6,2,3,1,54.46,1,6,2/7/17 2:42 PM,2
1,3,5,1,5,1,3,2,1,6,5,2,1,13.59,1,17,2/7/17 5:15 PM,2
2,4,3,4,2,2,0,1,2,1,5,2,2,0,1,20,2/8/17 9:14 AM,2
1,2,6,3,4,1,2,1,1,6,5,2,1,13.59,1,22,2/9/17 3:21 AM,2
1,6,8,4,5,1,1,1,2,6,2,1,1,13.59,1,18,2/9/17 8:20 PM,2
1,2,1,1,5,2,0,1,2,6,4,3,1,13.59,1,23,2/10/17 3:57 PM,2
1,6,5,4,1,1,1,1,2,7,4,2,1,13.59,1,6,2/11/17 2:08 AM,2
1,2,8,3,4,1,3,1,1,6,2,1,1,13.59,1,4,2/11/17 12:01 PM,2
1,5,5,4,4,2,0,2,1,6,2,3,1,13.59,1,14,2/12/17 4:57 AM,2
1,3,5,3,5,1,3,1,1,5,4,2,1,13.59,1,17,2/12/17 8:02 AM,2
1,3,5,4,2,2,0,1,1,6,3,3,1,40.37,1,8,2/12/17 8:15 PM,2
2,5,9,1,1,1,4,2,1,4,3,1,2,0,1,21,2/12/17 9:57 PM,2
2,6,6,4,2,2,0,1,1,5,4,2,1,65.66,1,6,2/13/17 10:06 AM,2
2,4,5,1,5,2,0,1,2,5,1,1,1,74.67,1,19,2/13/17 6:31 PM,2
1,5,6,3,4,1,4,2,2,1,2,1,1,13.59,1,20,2/14/17 3:12 AM,2
2,2,1,3,2,2,0,1,2,5,2,3,1,18.44,1,3,2/14/17 4:50 AM,2
2,2,9,1,4,2,0,1,2,1,1,3,2,0,1,14,2/14/17 8:31 PM,2
1,6,4,4,1,2,0,2,1,5,2,1,1,13.59,1,14,2/15/17 1:24 PM,2
1,6,7,4,1,1,4,1,2,5,1,1,1,13.59,1,20,2/15/17 8:45 PM,2
1,5,1,4,5,2,0,1,1,5,5,3,1,13.59,1,9,2/16/17 6:12 PM,2
2,5,3,2,5,1,4,2,1,3,1,1,2,0,1,22,2/17/17 1:37 PM,2
2,3,2,1,5,2,0,1,1,5,4,2,1,85.09,1,22,2/18/17 10:36 AM,2
1,6,9,3,1,1,1,2,1,6,3,3,1,13.59,1,5,2/18/17 4:34 PM,2
2,5,7,3,2,1,3,1,2,6,4,1,1,68.91,1,22,2/19/17 11:49 AM,2
1,4,4,1,1,2,0,1,2,6,3,1,1,13.59,1,12,2/19/17 11:56 AM,2
1,5,9,1,1,1,3,2,1,5,5,2,1,13.59,1,11,2/19/17 1:11 PM,2
2,4,5,1,5,1,2,1,2,1,3,2,1,42.31,1,24,2/19/17 8:06 PM,2
1,3,7,4,1,2,0,1,2,6,4,2,1,13.59,1,22,2/20/17 8:51 AM,2
1,3,1,1,4,1,4,1,1,7,1,1,1,13.59,1,6,2/21/17 2:23 AM,2
1,6,2,3,1,2,0,1,1,1,3,2,1,13.59,1,16,2/21/17 9:11 AM,2
1,2,8,4,3,1,4,1,1,6,5,2,1,13.59,1,2,2/22/17 3:04 AM,2
2,3,7,1,1,1,2,1,2,7,5,1,2,0,1,10,2/22/17 2:49 PM,2
1,6,1,3,3,1,4,2,1,6,2,1,1,13.59,1,14,2/23/17 1:49 AM,2
1,5,9,4,1,2,0,1,1,6,5,1,1,13.59,1,20,2/23/17 1:59 AM,2
1,6,6,3,1,2,0,2,1,1,3,2,1,37.95,1,7,2/23/17 4:44 AM,2
2,5,9,1,1,2,0,1,1,6,1,1,1,61.53,1,3,2/23/17 1:42 PM,2
2,1,2,2,3,2,0,1,1,5,5,2,2,0,1,13,2/24/17 6:37 AM,2
2,5,3,3,5,2,0,1,2,5,3,2,1,37.95,1,21,2/24/17 8:36 AM,2
1,1,2,3,4,1,4,1,2,6,3,3,1,13.59,1,15,2/24/17 3:40 PM,2
2,6,2,3,4,1,4,1,2,7,3,1,1,37.95,1,10,2/25/17 10:26 AM,2
1,1,2,4,1,1,3,1,1,6,1,2,1,13.59,1,13,2/25/17 9:38 PM,2
1,3,3,3,2,2,0,2,1,6,2,1,1,13.59,1,7,2/26/17 10:04 AM,2
1,3,6,3,4,1,2,2,2,7,5,3,1,13.59,1,6,2/27/17 9:53 AM,2
2,4,5,1,1,2,0,2,2,6,4,3,2,0,1,16,2/28/17 5:31 AM,2
2,5,3,3,2,1,3,1,1,5,4,1,1,83.19,1,17,2/28/17 6:08 AM,2
2,6,8,3,4,1,4,1,1,6,4,1,1,59.68,1,10,3/1/17 4:49 AM,3
1,4,7,4,1,1,1,1,1,5,1,3,1,13.59,1,5,3/1/17 5:55 PM,3
1,2,9,4,3,2,0,1,2,1,2,3,1,13.59,1,13,3/2/17 12:25 AM,3
2,5,4,3,2,1,3,1,1,1,5,2,1,28.85,1,21,3/2/17 2:38 AM,3
1,4,2,4,3,2,0,1,2,7,1,2,1,55.2,1,13,3/2/17 3:20 PM,3
2,2,2,1,1,1,4,2,2,2,2,2,2,0,1,19,3/2/17 11:00 PM,3
2,5,6,3,4,2,0,2,1,1,3,3,1,24.47,1,8,3/3/17 4:52 PM,3
1,5,4,4,3,1,1,2,2,5,3,1,1,13.59,1,15,3/3/17 9:43 PM,3
2,1,1,2,1,2,0,1,1,3,4,1,2,0,1,12,3/3/17 11:09 PM,3
2,1,2,2,2,1,4,1,1,3,2,3,2,0,1,4,3/4/17 7:33 AM,3
1,4,2,3,1,1,3,1,2,1,5,1,1,13.59,1,10,3/4/17 1:46 PM,3
1,5,6,3,1,2,0,1,2,5,3,2,1,13.59,1,16,3/4/17 7:47 PM,3
1,5,5,1,3,2,0,1,2,5,1,3,1,13.59,1,5,3/5/17 3:07 AM,3
1,2,1,1,4,1,3,1,1,5,3,3,1,13.59,1,3,3/6/17 1:10 AM,3
1,5,9,3,1,1,1,1,1,5,2,2,1,13.59,1,17,3/6/17 6:02 AM,3
2,5,2,4,2,2,0,2,1,5,2,3,1,59.89,1,14,3/6/17 10:39 AM,3
1,2,1,3,5,2,0,1,2,5,5,2,1,13.59,1,4,3/6/17 5:12 PM,3
2,3,2,4,2,1,3,1,2,7,5,3,2,0,1,9,3/7/17 12:17 PM,3
2,3,8,3,5,1,4,1,1,1,5,1,1,12.94,1,10,3/8/17 2:48 AM,3
2,3,4,3,4,2,0,1,1,5,5,1,1,38.85,1,7,3/8/17 8:02 PM,3
2,4,6,2,5,2,0,2,2,4,1,2,2,0,1,23,3/9/17 9:58 AM,3
1,6,5,3,1,2,0,1,1,5,5,3,1,13.59,1,2,3/9/17 11:33 AM,3
2,1,5,3,4,2,0,2,1,7,4,3,1,63.46,1,20,3/10/17 3:21 AM,3
1,2,7,1,4,2,0,1,2,6,2,3,1,13.59,1,4,3/10/17 6:31 AM,3
2,1,1,2,1,2,0,2,2,4,2,1,2,0,1,12,3/10/17 11:56 PM,3
1,3,2,3,4,1,3,1,2,5,5,3,1,13.59,1,19,3/11/17 7:27 AM,3
2,3,1,3,4,1,4,1,2,6,4,1,1,37.95,1,22,3/11/17 12:15 PM,3
1,5,4,3,1,1,2,1,1,6,4,2,1,13.59,1,7,3/11/17 1:36 PM,3
1,6,8,3,3,2,0,1,2,6,3,1,1,13.59,1,8,3/12/17 1:08 AM,3
2,5,4,1,5,2,0,1,1,6,1,3,1,77.2,1,12,3/12/17 7:52 AM,3
1,1,4,4,4,1,1,1,1,5,3,1,1,13.59,1,8,3/12/17 1:08 PM,3
1,2,3,3,5,1,4,1,1,6,2,1,1,50.69,1,15,3/13/17 12:17 PM,3
2,1,4,3,2,2,0,1,1,5,2,1,1,10.87,1,22,3/14/17 12:51 AM,3
1,4,6,3,5,1,1,1,1,7,3,3,1,13.59,1,4,3/14/17 12:38 PM,3
2,4,9,3,5,1,4,1,1,6,1,2,1,74.3,1,10,3/14/17 3:50 PM,3
1,4,4,3,2,1,3,1,1,1,2,1,1,13.59,1,25,3/15/17 12:40 AM,3
1,3,8,4,5,2,0,1,2,6,3,2,1,13.59,1,15,3/15/17 8:54 AM,3
1,5,6,3,3,2,0,2,1,1,3,3,1,13.59,1,6,3/16/17 1:49 AM,3
2,6,1,3,2,2,0,1,1,1,1,3,1,12.84,1,16,3/16/17 8:15 PM,3
1,4,4,3,5,1,3,1,1,6,1,1,1,13.59,1,16,3/17/17 7:13 PM,3
2,5,4,2,3,2,0,2,2,3,1,3,2,0,1,2,3/18/17 5:15 AM,3
1,3,6,1,4,1,4,1,1,7,1,1,1,13.59,1,13,3/18/17 12:12 PM,3
1,2,7,3,5,1,1,1,2,6,5,2,1,13.59,1,4,3/18/17 6:21 PM,3
1,1,9,3,4,2,0,1,2,5,4,3,1,13.59,1,9,3/19/17 3:14 AM,3
2,2,8,2,1,2,0,1,1,2,4,3,2,0,1,5,3/19/17 5:10 AM,3
1,5,4,4,4,1,2,1,1,6,3,3,1,13.59,1,2,3/19/17 1:01 PM,3
1,3,4,4,3,1,1,2,1,5,1,2,1,13.59,1,9,3/20/17 12:01 AM,3
2,4,9,4,3,2,0,1,2,5,2,1,1,17.52,1,16,3/20/17 7:47 PM,3
1,6,4,4,2,1,3,1,1,5,2,3,1,13.59,1,12,3/21/17 11:20 AM,3
2,6,4,3,5,2,0,1,1,6,3,1,1,37.95,1,15,3/22/17 4:39 AM,3
2,2,7,2,3,1,1,1,2,5,4,3,2,0,1,19,3/22/17 6:07 AM,3
2,6,6,3,4,1,1,1,1,5,2,3,1,52.34,1,2,3/22/17 10:03 PM,3
2,2,5,3,1,1,1,1,1,6,1,2,1,59.88,1,3,3/23/17 6:27 PM,3
2,6,1,1,4,1,3,2,1,1,5,2,2,0,1,5,3/24/17 3:41 AM,3
1,6,4,3,4,1,2,1,2,5,2,1,1,51.36,1,11,3/24/17 10:03 PM,3
1,5,3,3,5,2,0,1,1,5,4,3,1,13.59,1,20,3/25/17 1:21 PM,3
1,5,5,3,3,2,0,1,2,7,5,3,1,13.59,1,18,3/25/17 9:02 PM,3
2,6,2,2,4,1,4,1,1,5,5,2,2,0,1,3,3/26/17 9:25 AM,3
1,5,2,3,2,2,0,1,1,5,2,1,1,13.59,1,24,3/26/17 9:38 AM,3
1,2,5,3,5,2,0,1,2,6,3,1,1,13.59,1,12,3/26/17 2:33 PM,3
1,1,4,3,3,1,1,2,2,6,2,3,1,13.59,1,18,3/26/17 6:40 PM,3
2,1,8,3,5,2,0,1,1,6,3,2,1,51.77,1,7,3/27/17 4:17 AM,3
1,5,8,3,4,1,4,1,2,6,2,3,1,13.59,1,23,3/27/17 11:18 PM,3
1,4,4,1,1,1,1,1,1,6,5,3,1,13.59,1,22,3/28/17 7:52 PM,3
2,3,1,2,1,2,0,1,2,3,1,3,2,0,1,11,3/28/17 10:39 PM,3
2,6,8,3,3,2,0,1,1,6,4,3,1,37.95,1,9,3/29/17 1:00 PM,3
2,6,7,3,4,2,0,1,2,5,4,2,1,37.95,1,15,3/30/17 10:24 AM,3
1,6,2,3,3,1,1,1,1,7,4,2,1,13.59,1,21,3/30/17 10:24 PM,3
1,4,1,3,2,2,0,1,1,7,1,2,1,13.59,1,8,3/31/17 2:02 PM,3
1,3,9,1,4,1,2,1,2,6,4,2,1,13.59,2,53,4/1/17 3:18 AM,4
1,6,3,4,1,2,0,1,2,5,5,3,1,13.59,2,37,4/1/17 1:50 PM,4
2,5,5,3,5,1,4,2,2,6,3,1,1,41.48,2,51,4/2/17 9:17 AM,4
1,3,9,3,2,1,3,1,1,6,5,3,1,13.59,2,55,4/2/17 1:53 PM,4
2,6,2,1,1,2,0,1,2,1,5,3,1,92.11,2,46,4/3/17 4:04 AM,4
1,1,5,1,4,2,0,1,2,7,5,3,1,13.59,2,54,4/3/17 9:35 AM,4
2,4,2,3,1,2,0,1,2,5,5,2,1,37.95,2,51,4/3/17 10:11 AM,4
2,5,3,4,1,1,1,1,2,7,4,1,1,16.71,2,44,4/3/17 3:57 PM,4
1,1,5,3,4,2,0,1,1,5,5,2,1,13.59,2,52,4/4/17 3:45 PM,4
2,4,6,1,1,2,0,2,2,3,2,3,2,0,2,48,4/5/17 6:45 AM,4
1,3,7,1,4,1,4,2,1,1,2,1,1,13.59,2,48,4/5/17 6:50 AM,4
1,6,5,1,2,1,1,1,1,7,4,3,1,13.59,2,38,4/5/17 3:09 PM,4
1,4,7,3,3,2,0,1,1,1,4,3,1,31.97,2,39,4/6/17 10:43 AM,4
2,2,7,3,4,1,3,1,2,6,4,3,1,46.67,2,55,4/7/17 8:38 AM,4
2,5,1,2,5,2,0,1,1,2,1,2,2,0,2,42,4/8/17 8:33 AM,4
1,3,4,1,2,1,3,1,1,5,5,2,1,13.59,2,37,4/8/17 6:05 PM,4
1,3,1,4,4,1,1,1,1,5,4,2,1,13.59,2,37,4/9/17 2:16 PM,4
1,3,8,1,2,2,0,2,1,7,5,1,1,13.59,2,38,4/10/17 11:25 AM,4
1,3,5,4,1,2,0,2,1,6,5,2,1,13.59,2,43,4/11/17 10:14 AM,4
1,5,7,3,5,1,2,1,1,7,3,2,1,13.59,2,50,4/11/17 10:33 PM,4
1,4,9,3,3,2,0,1,1,5,2,2,1,13.59,2,40,4/12/17 10:47 AM,4
2,4,1,2,1,1,2,2,1,2,1,1,2,0,2,46,4/13/17 12:02 AM,4
1,3,2,4,1,1,3,1,1,5,4,1,1,13.59,2,36,4/13/17 5:51 PM,4
1,4,5,1,2,1,3,1,2,5,1,3,1,13.59,2,44,4/14/17 1:11 AM,4
2,1,2,3,4,1,1,2,2,5,5,2,1,28.4,2,45,4/14/17 7:52 AM,4
2,1,4,4,3,1,4,1,1,6,3,2,2,0,2,55,4/14/17 1:59 PM,4
2,5,9,1,5,1,2,1,2,5,4,3,1,95.93,2,54,4/15/17 11:31 AM,4
2,3,3,2,1,1,3,2,1,1,1,2,2,0,2,41,4/15/17 2:46 PM,4
1,1,8,3,1,2,0,1,2,1,3,1,1,13.59,2,42,4/16/17 6:56 AM,4
2,5,4,2,4,1,3,1,1,3,3,1,2,0,2,44,4/16/17 3:35 PM,4
2,3,4,2,2,1,2,1,2,1,3,3,2,0,2,50,4/17/17 2:49 PM,4
1,3,6,4,3,2,0,1,2,6,1,2,1,13.59,2,42,4/18/17 5:38 AM,4
2,4,3,3,3,2,0,2,2,5,3,1,1,55.65,2,43,4/18/17 4:20 PM,4
1,2,8,3,2,1,2,1,1,1,5,1,1,13.59,2,35,4/19/17 12:47 AM,4
2,2,3,4,1,2,0,1,1,1,5,2,1,57.25,2,41,4/19/17 2:05 PM,4
1,3,7,3,2,1,4,1,1,6,5,3,1,13.59,2,39,4/19/17 11:48 PM,4
2,3,5,4,5,2,0,1,2,1,3,2,1,26.89,2,42,4/20/17 11:25 PM,4
1,5,7,3,3,1,3,1,2,6,5,1,1,13.59,2,36,4/21/17 1:07 AM,4
2,4,7,1,2,2,0,1,1,6,3,3,1,42.44,2,46,4/21/17 4:23 PM,4
2,2,4,2,2,1,3,2,2,6,4,1,2,0,2,45,4/22/17 1:01 AM,4
2,6,3,1,3,1,2,2,1,1,2,1,2,0,2,54,4/22/17 11:44 AM,4
1,4,3,1,3,1,1,1,2,7,3,2,1,13.59,2,42,4/22/17 12:37 PM,4
1,5,8,1,4,2,0,1,1,7,2,3,1,13.59,2,46,4/23/17 4:47 AM,4
2,5,4,4,5,1,1,2,1,7,1,1,2,0,2,44,4/23/17 10:16 AM,4
1,4,8,3,3,1,4,1,1,1,5,3,1,13.59,2,42,4/23/17 12:07 PM,4
1,5,8,3,4,2,0,2,1,6,2,2,1,13.59,2,52,4/24/17 6:25 AM,4
1,3,3,3,1,1,4,1,2,5,1,1,1,95.92,2,43,4/24/17 6:58 PM,4
2,6,8,4,4,2,0,2,1,4,1,2,2,0,2,54,4/25/17 12:40 AM,4
1,3,1,3,3,2,0,1,1,6,4,2,1,13.59,2,42,4/25/17 7:06 PM,4
1,3,3,3,3,2,0,1,1,3,5,2,1,13.59,2,55,4/26/17 9:14 AM,4
1,2,1,1,1,1,3,1,1,6,3,1,1,13.59,2,40,4/26/17 3:28 PM,4
2,4,5,3,1,1,1,1,1,6,2,3,1,77.5,2,48,4/27/17 9:51 AM,4
2,4,8,4,1,2,0,1,1,3,5,3,2,0,2,35,4/27/17 8:45 PM,4
1,2,5,3,5,2,0,1,2,7,4,3,1,13.59,2,53,4/28/17 9:34 AM,4
2,1,9,3,1,2,0,1,2,6,2,2,1,24.65,2,51,4/28/17 4:47 PM,4
2,5,6,3,4,2,0,1,2,7,2,2,1,24.65,2,50,4/29/17 9:51 AM,4
2,1,5,4,4,2,0,1,2,7,3,2,1,24.65,2,53,4/29/17 1:14 PM,4
2,1,8,1,2,2,0,1,1,1,1,2,1,61.36,2,38,4/30/17 1:04 PM,4
2,1,6,4,3,2,0,1,2,6,1,1,1,12.25,2,47,5/1/17 10:11 AM,5
2,1,2,3,1,1,2,2,2,7,4,1,1,24.65,2,51,5/2/17 6:40 AM,5
2,5,1,3,5,1,2,1,1,6,4,1,1,24.65,2,52,5/2/17 11:35 PM,5
1,4,7,4,1,1,1,1,1,7,2,3,1,13.59,2,54,5/3/17 8:58 PM,5
1,3,4,4,1,2,0,1,1,1,3,3,1,13.59,2,52,5/4/17 10:00 AM,5
1,5,4,1,2,2,0,2,1,6,5,3,1,13.59,2,55,5/4/17 1:50 PM,5
1,1,4,1,3,2,0,2,2,2,1,1,1,13.59,2,41,5/5/17 3:50 AM,5
1,1,5,1,2,2,0,1,2,6,5,1,1,13.59,2,55,5/6/17 12:38 AM,5
1,3,2,3,1,1,4,1,1,2,4,2,1,13.59,2,35,5/6/17 6:48 PM,5
1,4,7,3,5,1,2,1,2,6,5,1,1,13.59,2,39,5/6/17 7:55 PM,5
1,3,8,3,3,2,0,1,1,7,4,2,1,13.59,2,39,5/7/17 1:36 AM,5
1,1,2,4,1,2,0,1,2,7,5,2,1,77.12,2,39,5/7/17 9:32 AM,5
2,1,2,3,4,1,2,1,1,6,5,3,1,24.65,2,40,5/8/17 2:59 AM,5
1,5,9,4,5,2,0,1,1,6,4,2,1,13.59,2,40,5/8/17 8:39 PM,5
2,2,1,3,5,2,0,1,1,4,4,3,1,20.33,2,52,5/9/17 4:34 PM,5
1,6,3,1,2,2,0,1,1,6,5,3,1,13.59,2,46,5/10/17 6:17 AM,5
2,1,4,3,1,2,0,1,1,1,5,3,1,72.92,2,52,5/10/17 4:19 PM,5
1,3,1,3,3,1,3,1,1,3,4,2,1,13.59,2,40,5/10/17 9:30 PM,5
2,5,5,4,3,2,0,2,1,5,1,2,1,36.62,2,52,5/10/17 11:03 PM,5
2,3,3,3,3,1,3,1,2,1,4,3,1,24.65,2,35,5/11/17 4:53 AM,5
1,3,7,1,4,2,0,1,2,6,2,1,1,13.59,2,50,5/11/17 8:03 AM,5
2,2,5,3,5,1,4,2,2,6,3,1,1,24.65,2,54,5/11/17 9:22 AM,5
1,1,4,4,5,2,0,2,1,5,3,3,1,13.59,2,52,5/12/17 5:15 AM,5
2,5,4,1,2,1,2,1,1,2,2,2,1,39.35,2,49,5/12/17 6:47 PM,5
1,1,4,3,4,2,0,1,1,1,2,3,1,24.65,2,50,5/13/17 6:15 AM,5
2,4,4,3,5,2,0,1,1,5,5,1,1,85.42,2,42,5/14/17 5:35 AM,5
1,3,5,3,3,2,0,1,2,5,2,3,1,13.59,2,53,5/14/17 10:01 AM,5
2,2,4,4,3,1,3,1,2,2,1,1,1,26.31,2,39,5/15/17 7:11 AM,5
1,1,5,4,1,1,2,1,1,5,4,2,1,13.59,2,41,5/15/17 8:31 PM,5
1,5,5,4,5,2,0,1,1,1,5,1,1,13.59,2,54,5/16/17 7:40 AM,5
2,2,4,3,2,1,3,1,1,4,5,3,1,24.65,2,51,5/16/17 1:21 PM,5
2,5,4,4,2,1,1,1,1,5,1,3,1,24.65,2,49,5/17/17 1:07 PM,5
1,6,8,1,4,2,0,2,2,6,4,2,1,13.59,2,48,5/17/17 4:00 PM,5
1,4,4,3,5,1,3,1,1,1,4,1,1,13.59,2,47,5/18/17 12:21 PM,5
1,6,4,3,3,2,0,2,1,5,5,2,1,13.59,2,54,5/19/17 4:13 AM,5
1,4,6,3,2,1,3,1,2,1,2,1,1,13.59,2,48,5/20/17 1:29 AM,5
2,4,5,4,2,1,2,1,2,5,3,2,1,60.41,2,36,5/20/17 2:18 AM,5
1,4,6,4,2,1,3,1,1,2,5,2,1,13.59,2,43,5/20/17 9:27 AM,5
2,5,4,3,5,2,0,1,2,5,2,1,1,24.65,2,51,5/21/17 1:46 AM,5
1,3,4,3,2,2,0,1,2,5,5,3,1,13.59,2,49,5/21/17 5:56 AM,5
